id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
109263,Sat Aug 04 2012 12:03:05 GMT-0700 (PDT),2012-08-04,2012-08-04 19:03:05 UTC,Pacific Time (US & Canada),7075,reenie,2012-08-04 23:44:25 UTC,2019-03-16 09:21:22 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/109263,https://static.inaturalist.org/photos/156162/medium.jpg,,"",All over dogbane,2,0,false,,"Nevada County, Tahoe National Forest, UCNRS, US-CA, US",39.438891,-120.255037,47,,,false,,,,Nevada,California,United States,California,Nevada,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
118092,2012-08-13,2012-08-13,,Hawaii,462,barbarab,2012-09-01 05:48:10 UTC,2018-02-19 10:14:04 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/118092,https://static.inaturalist.org/photos/168693/medium.JPG,,"insect, bee, Hymenoptera, Apoidea","",2,0,false,,"Point Richmond, CA",37.9277708703,-122.3923113448,,,,false,,,,Contra Costa,California,United States,California,Contra Costa,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
140991,"October 21, 2012 11:46",2012-10-21,2012-10-21 18:46:00 UTC,Pacific Time (US & Canada),5692,justin2,2012-10-30 03:58:16 UTC,2019-03-26 22:48:57 UTC,research,CC0,http://www.inaturalist.org/observations/140991,https://static.inaturalist.org/photos/195323/medium.JPG?1444792948,,"",Black and white bee at Bolsa Chica,1,0,false,,"Bolsa Chica Ecological Reserve, Huntington Beach, CA, US",33.696743,-118.044556,,,,false,,,,Orange,California,United States,California,Orange,Cellophane Bees,Colletes,Cellophane Bees,Insecta,127741,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,,,,,
212400,Fri Mar 08 2013 11:37:18 GMT-0600 (CST),2013-03-08,2013-03-08 17:37:18 UTC,Central Time (US & Canada),13774,shannanbloom,2013-03-08 17:38:19 UTC,2017-09-25 18:12:58 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/212400,,,"","",0,0,false,,"Westlake High School, Austin, Texas, US",30.275534,-97.813416,65,,,false,,,,Travis,Texas,United States,Texas,Travis,Cellophane Bees,Colletes,Cellophane Bees,Insecta,127741,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,,,,,
213649,Sat Mar 09 2013 21:21:28 GMT-0600 (CST),2013-03-09,2013-03-10 03:21:28 UTC,Central Time (US & Canada),13737,icecoldbrew,2013-03-10 03:23:47 UTC,2017-09-25 18:14:04 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/213649,,,"","",0,0,false,,"10604 Coreopsis Dr, Austin, Texas, US",30.310551,-97.8989,10,,,false,,,,Travis,Texas,United States,Texas,Travis,Plasterer Bees,Colletidae,Plasterer Bees,Insecta,127740,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,,,,,,,,,,,
213650,Sat Mar 09 2013 21:21:28 GMT-0600 (CST),2013-03-09,2013-03-10 03:21:28 UTC,Central Time (US & Canada),13737,icecoldbrew,2013-03-10 03:23:47 UTC,2017-09-25 18:14:05 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/213650,,,"","",0,0,false,,"10604 Coreopsis Dr, Austin, Texas, US",30.310551,-97.8989,10,,,false,,,,Travis,Texas,United States,Texas,Travis,Plasterer Bees,Colletidae,Plasterer Bees,Insecta,127740,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,,,,,,,,,,,
213653,Sat Mar 09 2013 21:21:28 GMT-0600 (CST),2013-03-09,2013-03-10 03:21:28 UTC,Central Time (US & Canada),13737,icecoldbrew,2013-03-10 03:23:53 UTC,2017-09-25 18:14:05 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/213653,,,"","",0,0,false,,"10604 Coreopsis Dr, Austin, Texas, US",30.310551,-97.8989,10,,,false,,,,Travis,Texas,United States,Texas,Travis,Plasterer Bees,Colletidae,Plasterer Bees,Insecta,127740,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,,,,,,,,,,,
256087,2010-05-29,2010-05-29,,Pacific Time (US & Canada),16131,kschnei,2013-05-06 03:45:24 UTC,2017-12-03 03:06:31 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/256087,https://static.inaturalist.org/photos/318658/medium.jpg?1444590276,,"","",1,0,false,,Redwood City,37.482711,-122.22709,26,,,false,,,,San Mateo,California,United States,California,San Mateo,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
269753,Thu May 16 2013 11:29:34 GMT-0700 (PDT),2013-05-16,2013-05-16 18:29:34 UTC,Pacific Time (US & Canada),13979,robberfly,2013-05-16 23:25:52 UTC,2018-12-12 20:21:04 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/269753,https://static.inaturalist.org/photos/333728/medium.jpg?1368746900,,"","",2,0,false,,"448 Noe St, San Francisco, California, US",37.7618333333,-122.433,,,,false,,,,San Francisco,California,United States,California,San Francisco,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
274147,2013-05-14,2013-05-14,,Eastern Time (US & Canada),15548,andreerenosanborn,2013-05-21 10:03:06 UTC,2017-11-18 07:31:08 UTC,research,,http://www.inaturalist.org/observations/274147,https://static.inaturalist.org/photos/339044/medium.jpg?1444612564,,"Colletes inaequalis, bee","",1,0,false,,"Barton, VT",44.748081,-72.176258,11379,,,false,,,,Orleans,Vermont,United States,Vermont,Orleans,Unequal Cellophane Bee,Colletes inaequalis,Unequal Cellophane Bee,Insecta,199041,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,Colletes inaequalis,,,,
285860,2013-05-29,2013-05-29,,Pacific Time (US & Canada),11548,teachoutside,2013-06-02 19:39:29 UTC,2018-02-20 18:40:33 UTC,needs_id,CC-BY-NC-ND,http://www.inaturalist.org/observations/285860,https://static.inaturalist.org/photos/353760/medium.jpg?1370202016,,"california, bay area, hylaeinae, bee, slender, small",10:55a.m. Hylaeinae Bee (?) on a radish flower.,2,0,false,,"Berkeley, CA, usa",37.875562,-122.301641,9,,,false,,,,Alameda,California,United States,California,Alameda,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
322537,2013-06-21 14:46:42,2013-06-21,2013-06-21 21:46:42 UTC,Pacific Time (US & Canada),18633,miketroll,2013-07-06 12:05:43 UTC,2018-11-16 00:06:23 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/322537,https://static.inaturalist.org/photos/401259/medium.JPG?1373112351,,"","",3,0,false,,Sagehen Creek Field Station,39.432115,-120.241231,1675,,,false,,,,Nevada,California,United States,California,Nevada,Bees and Allied Wasps,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
367856,2013-08-16,2013-08-16,,Pacific Time (US & Canada),20004,photon-hog,2013-08-17 08:02:33 UTC,2017-12-16 03:10:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/367856,https://static.inaturalist.org/photos/459689/medium.jpg?1376726559,,"bee, cellophane bee, insect","",1,0,false,,"More Mesa, Goleta CA",34.418541,-119.798506,,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Slevin's Cellophane Bee,Colletes slevini,Slevin's Cellophane Bee,Insecta,179704,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,Colletes slevini,,,,
404559,2013-04-27 00:00:46,2013-04-27,2013-04-27 04:00:46 UTC,Eastern Time (US & Canada),20957,tapaculo99,2013-09-21 22:58:48 UTC,2019-08-10 17:08:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/404559,https://static.inaturalist.org/photos/506302/medium.jpg?1444259305,,"",A little bee on some fresh flowers this afternoon. He stayed still for a close macro photo. Any clues on ID would be helpful,1,0,false,,"East Thetford, Vermont, United States",43.808517,-72.210409,,,,false,,"",Thetford,Orange,Vermont,United States,Vermont,Orange,Unequal Cellophane Bee,Colletes inaequalis,Unequal Cellophane Bee,Insecta,199041,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,Colletes inaequalis,,,,
407766,2013-09-23,2013-09-23,,Pacific Time (US & Canada),505,dloarie,2013-09-25 03:51:35 UTC,2018-02-15 07:49:34 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/407766,https://static.inaturalist.org/photos/510049/medium.jpg?1444264189,,"","",3,0,false,,"Alexander Valley, CA",38.611472,-122.781932,8,,,false,,,,Sonoma,California,United States,California,Sonoma,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
420194,Sun Oct 06 2013 12:07:14 GMT-0400 (EDT),2013-10-06,2013-10-06 16:07:14 UTC,Eastern Time (US & Canada),3518,jwhittle,2013-10-06 20:12:31 UTC,2018-11-15 23:53:27 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/420194,https://static.inaturalist.org/photos/529596/medium.jpg?1381090361,,"","",3,0,false,3,"Ohio, US",41.3480643116,-81.530850504,,obscured,,true,,,,Summit,Ohio,United States,Ohio,Summit,Masked Bees,Prosopis,,Insecta,563473,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
432893,2013-03-30 12:59:26,2013-03-30,2013-03-30 16:59:26 UTC,Eastern Time (US & Canada),17932,treichard,2013-10-19 01:01:05 UTC,2018-12-16 05:27:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/432893,https://static.inaturalist.org/photos/545456/medium.JPG?1382144472,,"",,1,0,false,,"Anne Arundel, Maryland, United States",38.7994499207,-76.6979598999,,,,false,,,,Anne Arundel,Maryland,United States,Maryland,Anne Arundel,Unequal Cellophane Bee,Colletes inaequalis,Unequal Cellophane Bee,Insecta,199041,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,Colletes inaequalis,,,,
452971,2012-07-30 15:36:47,2012-07-30,2012-07-30 19:36:47 UTC,Eastern Time (US & Canada),14389,sdroege,2013-11-10 22:13:22 UTC,2019-09-11 12:37:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/452971,https://static.inaturalist.org/photos/571467/medium.jpg?1444322600,,"","Colletes willistoni, male, Badlands National Park, South Dakota",1,0,false,,"Interior, South Dakota, United States",43.754605,-101.933212,,,,false,,,,Jackson,South Dakota,United States,South Dakota,Jackson,Colletes willistoni,Colletes willistoni,,Insecta,336469,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,Colletes willistoni,,,,
459004,2013-11-15,2013-11-15,,Central Time (US & Canada),21845,bog_marsh,2013-11-15 22:14:07 UTC,2017-12-11 11:59:24 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/459004,https://static.inaturalist.org/photos/578650/medium.jpg?1384553664,,"black, white, bee","Black and white fuzzy bee with very small wings found on a blooming Eupatorium wrightii (white mistflower, Wright's boneset).",1,0,false,,"12903 Oak Creek Circle, Austin, TX 78727",30.428342,-97.709075,9,,,false,,,City of Austin,Travis,Texas,United States,Texas,Travis,Cellophane Bees,Colletes,Cellophane Bees,Insecta,127741,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,,,,,,
505447,2013-07-21 12:54:38,2013-07-21,2013-07-21 16:54:38 UTC,Eastern Time (US & Canada),3773,anita363,2014-01-20 17:08:58 UTC,2018-05-31 04:40:11 UTC,needs_id,CC-BY-NC-SA,http://www.inaturalist.org/observations/505447,https://static.inaturalist.org/photos/643715/medium.jpg?1444420572,,"","Very small bee, 5.5 mm long, with fancy stripy legs",2,0,false,,"New Brunswick, New Jersey, United States",40.498077,-74.434763,,,,false,,"",Highland Park New Jersey,Middlesex,New Jersey,United States,New Jersey,Middlesex,Masked Bees,Hylaeus,Masked Bees,Insecta,127812,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,,,,,,
