id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
136431,2009-03-15,2009-03-15,,Pacific Time (US & Canada),10285,finatic,2012-10-17 02:58:59 UTC,2017-11-11 15:27:32 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/136431,https://static.inaturalist.org/photos/189749/medium.jpg?1444596050,,animal,"",2,0,false,,Anza-Borrego--Hellhole Canyon,33.2475888244,-116.405980289,,,,false,,"",,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
684988,2014-05-15 17:52:08,2014-05-15,2014-05-16 00:52:08 UTC,Pacific Time (US & Canada),1,kueda,2014-05-19 07:59:24 UTC,2019-05-07 08:15:41 UTC,needs_id,CC0,http://www.inaturalist.org/observations/684988,https://static.inaturalist.org/photos/862284/medium.jpg?1400486372,,"","",1,0,false,,"San Luis Obispo County, US-CA, US",35.5860180961,-120.5192261175,557,,,true,,,,San Luis Obispo,California,United States,California,San Luis Obispo,Bees and Allied Wasps,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
1265604,2015-02-28 09:44:26,2015-02-28,2015-02-28 17:44:26 UTC,Pacific Time (US & Canada),27743,jaykeller,2015-03-02 02:01:00 UTC,2019-07-28 18:08:13 UTC,needs_id,,http://www.inaturalist.org/observations/1265604,https://static.inaturalist.org/photos/1588486/medium.jpg?1444330560,,"","",3,0,false,,"Sweeney Pass, San Diego County, CA",32.833089,-116.179025,68,,,false,,manual,,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
1286533,2015-02-28 09:46:37,2015-02-28,2015-02-28 17:46:37 UTC,Pacific Time (US & Canada),10285,finatic,2015-03-11 16:20:02 UTC,2017-11-13 15:29:46 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1286533,https://static.inaturalist.org/photos/1613702/medium.jpg?1444352514,,"","San Diego County, California, US",3,0,false,,S2--curvy canyon,32.833316,-116.17936,55,,,false,,"",,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
1397425,2015-03-17 07:50:37,2015-03-17,2015-03-17 14:50:37 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,2015-04-16 05:39:26 UTC,2018-01-14 18:14:16 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/1397425,https://static.inaturalist.org/photos/1727811/medium.JPG?1429162772,,"black, grey, yellow, pollinator",Sleeping(?) in a Eucnide urens flower.,1,0,false,,"Mosaic Canyon, Death Valley National Park, California, USA",36.569838,-117.143354,211,,,false,,manual,,Inyo,California,United States,California,Inyo,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
1401481,2015-04-17 13:39:51,2015-04-17,2015-04-17 20:39:51 UTC,Pacific Time (US & Canada),52839,glmory,2015-04-18 04:30:48 UTC,2018-08-21 14:35:29 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/1401481,https://static.inaturalist.org/photos/1733517/medium.JPG?1429331492,,"","",2,0,false,,"Kern, California, United States",34.9088863611,-118.1687049722,,,,false,,,,Kern,California,United States,California,Kern,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
1436760,2015-04-09,2015-04-09,,Mexico City,7504,annemirdl,2015-04-29 14:20:33 UTC,2019-12-09 08:57:30 UTC,needs_id,,http://www.inaturalist.org/observations/1436760,https://static.inaturalist.org/photos/1777933/medium.jpg?1444405942,,"","",2,0,false,,Red Rock Canyon State Park,35.38367,-117.974713,10043,,,false,,,,Kern,California,United States,California,Kern,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
2705866,2014-04-24 16:11:58,2014-04-24,2014-04-24 23:11:58 UTC,Pacific Time (US & Canada),2616,alice_abela,2016-02-22 05:03:50 UTC,2017-11-11 15:26:33 UTC,needs_id,,http://www.inaturalist.org/observations/2705866,https://static.inaturalist.org/photos/3047836/medium.jpg?1456117433,,"","Burton Mesa Ecological Reserve, Santa Barbara County, California",1,0,false,,"Burton Mesa Ecological Reserve, Santa Barbara County, California",34.705833,-120.443056,,,,false,,,,Santa Barbara,California,United States,California,Santa Barbara,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
2855708,2016-03-30 10:19:10,2016-03-30,2016-03-30 17:19:10 UTC,Pacific Time (US & Canada),28,tiwane,2016-03-31 03:25:44 UTC,2019-12-23 19:57:28 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2855708,https://static.inaturalist.org/photos/3258226/medium.jpg?1459394747,,"apoidea, desert, kern county, macro, mojave, mojave desert, red rock canyon state park",,2,0,false,,"Red Rock Canyon State Park, Kern, California, United States",35.36517,-117.9741566667,,,,false,,,,Kern,California,United States,California,Kern,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
2857005,2016-03-30 10:23:29 AM PDT,2016-03-30,2016-03-30 17:23:29 UTC,Pacific Time (US & Canada),105431,shaunmichael,2016-03-31 15:31:59 UTC,2019-02-28 06:02:26 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2857005,https://static.inaturalist.org/photos/3282882/medium.jpeg?1459723453,,"",,3,0,false,2,"Unnamed Rd Essex, CA 92332",34.70223809,-115.67117516,3,,,false,,,,San Bernardino,California,United States,California,San Bernardino,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
2859819,2016-03-31 9:48:21 AM PDT,2016-03-31,2016-03-31 16:48:21 UTC,Pacific Time (US & Canada),105431,shaunmichael,2016-04-01 00:10:52 UTC,2020-03-27 01:40:20 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2859819,https://static.inaturalist.org/photos/3284128/medium.jpeg?1459731253,,"",In desert dandelion,2,0,false,2,"Mojave National Preserve, San Bernardino County, US-CA, US",35.01348246,-115.6514885,3,,,false,,,,San Bernardino,California,United States,California,San Bernardino,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
2859825,2016-03-31 9:56:40 AM PDT,2016-03-31,2016-03-31 16:56:40 UTC,Pacific Time (US & Canada),105431,shaunmichael,2016-04-01 00:11:06 UTC,2019-02-28 23:47:47 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2859825,https://static.inaturalist.org/photos/3284147/medium.jpeg?1459731397,,"",In desert dandelion,2,0,false,2,"Mojave National Preserve, San Bernardino County, US-CA, US",35.01306955,-115.65145754,4,,,false,,,,San Bernardino,California,United States,California,San Bernardino,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
