taxon_genus_name,> = Apis,< Apis,Both,SIZE,Family
Colletes,X,X,X,both,Colletidae
Caupolicana,X,,,greater/equal,Colletidae
Hylaeus,,X,,less,Colletidae
Andrena,X,X,X,both,Andrenidae
Protandrena,X,X,X,both,Andrenidae
Pseudopanurgus,,X,,less,Andrenidae
Panurginus,,X,,less,Andrenidae
Perdita,,X,,less,Andrenidae
Calliopsis,,X,,less,Andrenidae
Augochlora,,X,,less,Halictidae
Augochlorella,,X,,less,Halictidae
Augochloropsis,,X,,less,Halictidae
Agapostemon,X,X,X,both,Halictidae
Halictus,X,X,X,both,Halictidae
Lasioglossum,,X,,less,Halictidae
Sphecodes,,X,,less,Halictidae
Dieunomia,X,,,greater/equal,Halictidae
Nomia,X,X,X,both,Halictidae
Dufourea,,X,,less,Halictidae
Hesperapis,,X,,less,Melittidae
Macropis,,X,,less,Melittidae
Macropis,,X,,less,Melittidae
Melitta,X,X,X,both,Melittidae
Lithurgus,X,X,X,both,Megachilidae
Anthidiellum,,X,,less,Megachilidae
Anthidium,,X,,less,Megachilidae
Dianthidium,,X,,less,Megachilidae
Paranthidium,,X,,less,Megachilidae
Stelis,,X,,less,Megachilidae
Stelis,,X,,less,Megachilidae
Trachusa,,X,,less,Megachilidae
Trachusa,,X,,less,Megachilidae
Coelioxys,X,X,X,both,Megachilidae
Megachile,X,X,X,both,Megachilidae
Ashmeadiella,,X,,less,Megachilidae
Chelostoma,,X,,less,Megachilidae
Heriades,,X,,less,Megachilidae
Hoplitis,X,X,X,both,Megachilidae
Osmia,X,X,X,both,Megachilidae
Osmia,X,X,X,both,Megachilidae
Xylocopa,X,,,greater/equal,Apidae
Ceratina,,X,,less,Apidae
Nomada,X,X,X,both,Apidae
Neolarra,,X,,less,Apidae
Epeolus,,X,,less,Apidae
Triepeolus,X,X,X,both,Apidae
Holcopasites,,X,,less,Apidae
Epeoloides,,X,,less,Apidae
Anthophorula,,X,,less,Apidae
Exomalopsis,,X,,less,Apidae
Melitoma,X,X,X,both,Apidae
Ptilothrix,X,,,greater/equal,Apidae
Cemolobus,X,,,greater/equal,Apidae
Eucera,X,X,X,both,Apidae
Florilegus,X,X,X,both,Apidae
Melissodes,X,X,X,both,Apidae
